cost,word
12.633629999999998,great
9.871999999999998,amazing
8.45194,delicious
6.916979999999999,best
6.275820000000002,nice
5.967220000000001,love
5.2223299999999995,portland
5.180719999999998,favorite
5.1062100000000035,food
4.75267,always
4.680070000000001,excellent
4.625970000000001,friendly
4.59806,highly_recommend
4.59235,selection
4.4481199999999985,good
4.3456,definitely
4.08653,everything
3.982199999999999,fresh
3.8739400000000015,sweet
3.7825800000000007,spot
3.7504999999999997,atmosphere
3.71257,awesome
3.6855899999999995,super
3.48171,perfect
3.4750699999999997,breakfast
3.4710900000000002,place
3.3963800000000006,atlanta
3.309639999999999,service
3.200809999999999,coffee
3.1711000000000005,loved
3.100589999999998,staff
2.9940800000000003,donut
2.97611,helpful
2.9504400000000004,area
2.9221300000000006,wait
2.7304999999999984,new
2.6723,thank
2.6333499999999996,wonderful
2.6311800000000005,flavor
2.6230300000000004,clean
2.6183499999999995,nail
2.6019399999999973,chicken
2.5838799999999997,salsa
2.583519999999999,house
2.47191,town
2.47011,enjoyed
2.4665299999999997,margarita
2.4525699999999997,knowledgeable
2.4210700000000003,incredible
2.2420099999999996,well
2.2235,beautiful
2.2024299999999997,pho
2.19214,]
2.1788099999999995,burrito
2.15846,bowl
2.15517,fun
2.1478900000000003,salon
2.14253,green
2.08437,try
2.0477999999999996,[
2.0438100000000006,music
1.9953000000000003,visit
1.99189,dish
1.9750799999999995,fantastic
1.96435,absolutely
1.9637900000000001,cake
1.94018,taco
1.9270199999999997,community
1.92468,tea
1.88675,perfectly
1.8810999999999998,tasty
1.8801,first_time
1.8797199999999994,really
1.86419,variety
1.8598999999999997,hand
1.8475000000000001,professional
1.8426700000000005,option
1.8420499999999995,dessert
1.83642,environment
1.83277,tire
1.8167299999999997,dinner
1.8071500000000005,satisfied
1.7985,attentive
1.7713000000000005,sandwich
1.769660000000001,restaurant
1.75922,team
1.75572,seating
1.7445,menu
1.7401500000000008,different
1.7386299999999997,spicy
1.7372500000000004,meal
1.7254500000000002,free
1.7137899999999993,also
1.69593,fried_chicken
1.6904400000000002,mexican
1.6677899999999999,helped
1.6351700000000002,crispy
1.6246199999999997,biscuit
1.6083399999999997,thai
1.6068799999999996,flavorful
